stations_name,latitude,longitude_x,number of bikes,name,distance,address,zip_code,city,longitude_y,categories
Spittelwiese ,48.302,14.2868,0,Stadtliebe,27,Landstr. 31,4020.0,Linz,14.29,gastropubs
Harrachstraße,48.304,14.297951,7,Restaurant s'Ringelg'spiel - Platzl's Schmankerl Reigen,79,Landstr. 12,4020.0,Linz,14.288,Restaurant
Harrachstraße,48.304,14.297951,7,Sakura Japan-Restaurant,79,Landstr. 13,4020.0,Linz,14.289,Restaurant
Harrachstraße,48.304,14.297951,7,Coconut Thai Restaurant,109,Marienstr. 11,4020.0,Linz,14.29,Thai Restaurant
Harrachstraße,48.304,14.297951,7,Goldener Drachen China- Restaurant Dun Shu FONG,145,Marienstr. 5,4020.0,Linz,14.29,Restaurant
Harrachstraße,48.304,14.297951,7,Restaurant Traxlmayr,199,Promenade 16,4020.0,Linz,14.287,Restaurant
Harrachstraße,48.304,14.297951,7,L'Osteria,205,Promenade 22,4020.0,Linz,14.287,italian
Harrachstraße,48.304,14.297951,7,Promenadenhof,206,Promenade 39,4020.0,Linz,14.283,mediterranean
Harrachstraße,48.304,14.297951,7,Pianino,78,Landstr. 13,4020.0,Linz,14.289,bars
Harrachstraße,48.304,14.297951,7,Restaurant Orpheus,975,Dametzstr. 23,4020.0,Linz,14.291,greek
Harrachstraße,48.304,14.297951,7,Traxlmayr Cafe,15,Promenade 16,4020.0,Linz,14.287,cafes
Harrachstraße,48.304,14.297951,7,DANECKER,44,Promenade 3,4020.0,Linz,14.288,bakeries
Promenade ,48.304,14.28719,7,Restaurant s'Ringelg'spiel - Platzl's Schmankerl Reigen,79,Landstr. 12,4020.0,Linz,14.288,Restaurant
Promenade ,48.304,14.28719,7,Sakura Japan-Restaurant,79,Landstr. 13,4020.0,Linz,14.289,Restaurant
Promenade ,48.304,14.28719,7,Coconut Thai Restaurant,109,Marienstr. 11,4020.0,Linz,14.29,Thai Restaurant
Promenade ,48.304,14.28719,7,Goldener Drachen China- Restaurant Dun Shu FONG,145,Marienstr. 5,4020.0,Linz,14.29,Restaurant
Promenade ,48.304,14.28719,7,Restaurant Traxlmayr,199,Promenade 16,4020.0,Linz,14.287,Restaurant
Promenade ,48.304,14.28719,7,L'Osteria,205,Promenade 22,4020.0,Linz,14.287,italian
Promenade ,48.304,14.28719,7,Promenadenhof,206,Promenade 39,4020.0,Linz,14.283,mediterranean
Promenade ,48.304,14.28719,7,Pianino,78,Landstr. 13,4020.0,Linz,14.289,bars
Promenade ,48.304,14.28719,7,Restaurant Orpheus,975,Dametzstr. 23,4020.0,Linz,14.291,greek
Promenade ,48.304,14.28719,7,Traxlmayr Cafe,15,Promenade 16,4020.0,Linz,14.287,cafes
Promenade ,48.304,14.28719,7,DANECKER,44,Promenade 3,4020.0,Linz,14.288,bakeries
Hauptstraße ,48.314,14.28115,9,Oliva Lentia City,435,Hauptstr. 54,4040.0,Linz,14.282,kebab
Hauptstraße ,48.314,14.28115,9,Goldener Adler,26,Hauptstr. 56,4040.0,Linz,14.281,hotels
Hauptstraße ,48.314,14.28115,9,Monte Verde,42,Hauptstr. 63,4040.0,Linz,14.281,pizza
Hauptstraße ,48.314,14.28115,9,Surace Classico,40,Hauptstr.54,4040.0,Linz,14.282,icecream
Herrenstraße,48.301,14.28717,9,Chizuru Japan Restaurant,253,Johann-Konrad-Vogel-Str. 11,4020.0,Linz,14.293,Restaurant
Herrenstraße,48.301,14.28717,9,Kiernan's Kitty Irish Pub-Restaurant GmbH,267,Hessenplatz 19,4020.0,Linz,14.293,"Bar, Restaurant"
Herrenstraße,48.301,14.28717,9,Restaurant Kaminloch,223,Baumbachstr. 18,4020.0,Linz,14.284,Restaurant
Herrenstraße,48.301,14.28717,9,Cocktailbar Easy,525,Baumbachstr. 14,4020.0,Linz,14.285,cocktailbars
Herrenstraße,48.301,14.28717,9,Il Caminetto,650,Hessenplatz 19,4020.0,Linz,14.293,italian
Herrenstraße,48.301,14.28717,9,Non Solo Vino,44,Bischofstr. 15,4020.0,Linz,14.287,italian
Herrenstraße,48.301,14.28717,9,Tom Yam,66,Konrad-Vogel-Str. 11,4020.0,Linz,14.293,thai
Hessenplatz ,48.301,14.29484,2,Chizuru Japan Restaurant,253,Johann-Konrad-Vogel-Str. 11,4020.0,Linz,14.293,Restaurant
Hessenplatz ,48.301,14.29484,2,Kiernan's Kitty Irish Pub-Restaurant GmbH,267,Hessenplatz 19,4020.0,Linz,14.293,"Bar, Restaurant"
Hessenplatz ,48.301,14.29484,2,Restaurant Kaminloch,223,Baumbachstr. 18,4020.0,Linz,14.284,Restaurant
Hessenplatz ,48.301,14.29484,2,Cocktailbar Easy,525,Baumbachstr. 14,4020.0,Linz,14.285,cocktailbars
Hessenplatz ,48.301,14.29484,2,Il Caminetto,650,Hessenplatz 19,4020.0,Linz,14.293,italian
Hessenplatz ,48.301,14.29484,2,Non Solo Vino,44,Bischofstr. 15,4020.0,Linz,14.287,italian
